Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Charge amount (EUR),Finra fee (EUR),Notes,ID,Currency conversion fee (EUR)
Withdrawal,2021-01-05 09:14:51,,,,,,,,,10.00,,,"Sent to Bank account",ff6396c2-ff57-4d65-bc68-6013fd65b8e8,
Market sell,2021-01-08 20:37:09,US62914V1061,NIO,"NIO Inc",8.0000000000,59.08,USD,1.22225,101.78,386.70,,,,EOF797570490,
Deposit,2021-01-09 08:07:28,,,,,,,,,510.00,510.00,,"Bank Transfer",18748eee-cded-442c-8357-1c700137bb57,
Market buy,2021-01-11 16:39:04,US62914V1061,NIO,"NIO Inc",8.0000000000,63.68,USD,1.21611,,418.91,,,,EOF809610588,
Market buy,2021-01-11 16:40:08,US62914V1061,NIO,"NIO Inc",10.0000000000,63.80,USD,1.21607,,524.64,,,,EOF809611389,
Market buy,2021-01-25 17:23:29,US88160R1014,TSLA,"Tesla",0.0500000000,863.06,USD,1.21382,,35.55,,,,EOF889786926,
Market buy,2021-02-01 14:52:28,US88160R1014,TSLA,"Tesla",0.0500000000,806.35,USD,1.20855,,33.36,,,,EOF946171039,
Market buy,2021-02-01 14:56:36,US63008G2030,NNDM,"Nano Dimension ",2.0000000000,13.48,USD,1.20906,,22.30,,,,EOF947283026,
Market buy,2021-02-01 15:01:57,US48138M1053,JMIA,"Jumia Technologies",0.5000000000,58.18,USD,1.20917,,24.06,,,,EOF947296029,
Market buy,2021-02-01 18:45:35,US00165C1045,AMC,"AMC Entertainment Holdings",2.0000000000,14.05,USD,1.20673,,23.29,,,,EOF951835969,
Market sell,2021-02-03 14:31:14,US00165C1045,AMC,"AMC Entertainment Holdings",2.0000000000,8.81,USD,1.20293,-8.64,14.65,,,,EOF965628421,
Market buy,2021-02-10 19:04:30,US5657881067,MARA,"Marathon Digital Holdings",1.0000000000,35.19,USD,1.21277,,29.02,,,,EOF1028904901,
Market sell,2021-02-12 15:22:36,US62914V1061,NIO,"NIO Inc",1.0000000000,59.60,USD,1.20965,1.56,49.27,,,,EOF1042980714,
Market buy,2021-02-12 15:24:56,US42226N1090,HCMC,"Healthier Choices Management",12000.0000000000,0.01,USD,1.20948,,49.61,,,,EOF1043984025,
Market buy,2021-02-17 17:56:35,US8177631053,SESN,"Sesen Bio ",2.0000000000,3.15,USD,1.20426,,5.23,,,,EOF1069967389,
Market sell,2021-02-24 14:54:55,US8177631053,SESN,"Sesen Bio ",2.0000000000,2.82,USD,1.21333,-0.58,4.65,,,,EOF1106881607,
Market sell,2021-02-24 14:58:47,US42226N1090,HCMC,"Healthier Choices Management",12000.0000000000,0.00,USD,1.21325,-23.90,25.71,,,,EOF1108185261,
Market buy,2021-02-25 18:24:45,US69608A1088,PLTR,"Palantir",1.0000000000,24.10,USD,1.21898,,19.77,,,,EOF1116049200,
Market buy,2021-02-25 19:00:24,US48138M1053,JMIA,"Jumia Technologies",0.3000000000,47.30,USD,1.21723,,11.66,,,,EOF1116065266,
Deposit,2021-03-02 08:47:19,,,,,,,,,250.00,250.00,,"Bank Transfer",54b72a9e-0391-4d9d-bcc0-8b829f0bd91d,
Market buy,2021-03-02 14:40:16,US5657881067,MARA,"Marathon Digital Holdings",1.0000000000,37.64,USD,1.20371,,31.27,,,,EOF1131489593,
Market buy,2021-03-02 14:41:48,US69608A1088,PLTR,"Palantir",1.0000000000,24.85,USD,1.20358,,20.65,,,,EOF1131491261,
