Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market sell,2022-01-03 15:14:36,US88160R1014,TSLA,"Tesla",0.2000000000,1157.50,USD,1.13052,41.33,204.46,,,,,,EOF1731627691,0.31
Market buy,2022-01-04 08:54:52,XS2399365472,3NIE,"Leverage Shares 3x Long NIO",5.0000000000,3.72,EUR,1.00000,,18.61,,,,,,EOF1732545554,
Market sell,2022-01-05 20:53:54,US00287Y1091,ABBV,"AbbVie",0.2500000000,136.27,USD,1.13124,1.11,30.06,,,,,,EOF1737517520,0.05
Market buy,2022-01-05 20:55:34,US5949181045,MSFT,"Microsoft",0.1000000000,317.14,USD,1.13099,,28.08,,,,,,EOF1737517825,0.04
Deposit,2022-01-13 07:41:42,,,,,,,,,800.00,,,800.00,,"Bank Transfer",ccb11523-0566-489a-a6b7-10ee68760351,
Market buy,2022-01-13 10:30:55,IE00BGL86Z12,ECAR,"iShares Electric Vehicles & Driving Technology (Acc)",20.0000000000,8.57,USD,1.14643,,149.78,,,,,,EOF1747441270,0.22
Market buy,2022-01-13 10:36:55,IE00B3WJKG14,IITU,"iShares S&P 500 Information Technology Sector (Acc)",4.5000000000,1545.00,GBX,83.41989,,83.47,,,,,,EOF1747441393,0.13
Market buy,2022-01-13 14:30:04,US88160R1014,TSLA,"Tesla",0.2000000000,1110.00,USD,1.14706,,193.83,,,,,,EOF1747450217,0.29
Market buy,2022-01-13 14:30:06,US62914V1061,NIO,"NIO",7.0000000000,31.70,USD,1.14709,,193.74,,,,,,EOF1747451104,0.29
Market buy,2022-01-13 14:30:06,US5657881067,MARA,"Marathon Digital",5.0000000000,30.92,USD,1.14705,,134.98,,,,,,EOF1747451371,0.20
Market buy,2022-01-13 14:31:21,US98422D1054,XPEV,"XPeng",2.0000000000,47.85,USD,1.14729,,83.54,,,,,,EOF1748556823,0.13
Market buy,2022-01-13 16:01:28,US4581401001,INTC,"Intel",0.9000000000,55.54,USD,1.14593,,43.69,,,,,,EOF1748575646,0.07
Market buy,2022-01-18 14:30:14,US1912161007,KO,"Coca-Cola",1.0000000000,61.08,USD,1.13614,,53.84,,,,,,EOF1753908216,0.08
Market buy,2022-01-21 20:58:58,US5657881067,MARA,"Marathon Digital",1.0000000000,22.05,USD,1.13437,,19.47,,,,,,EOF1760262345,0.03
Market buy,2022-01-21 20:59:27,US69608A1088,PLTR,"Palantir",2.0000000000,13.55,USD,1.13431,,23.93,,,,,,EOF1760262482,0.04
Market buy,2022-01-21 20:59:33,US88160R1014,TSLA,"Tesla",0.0500000000,943.41,USD,1.13421,,41.65,,,,,,EOF1760262503,0.06
Market buy,2022-01-21 20:59:56,US98422D1054,XPEV,"XPeng",0.5000000000,41.83,USD,1.13403,,18.47,,,,,,EOF1760262643,0.03
Market sell,2022-01-27 08:23:04,XS2399365555,SNIE,"Leverage Shares -3x Short NIO",1.0000000000,7.25,EUR,1.00000,-0.09,7.25,,,,,,EOF1767208258,
Deposit,2022-01-31 07:49:20,,,,,,,,,350.00,,,350.00,,"Bank Transfer",796613a5-cb75-46ec-8d84-0c8638cffff5,
Market buy,2022-02-02 19:52:05,US0079031078,AMD,"Advanced Micro Devices",0.5000000000,123.00,USD,1.13097,,54.46,,,,,,EOF1776951087,0.08
Market buy,2022-02-02 19:54:34,US5494981039,LCID,"Lucid",1.0000000000,27.79,USD,1.13100,,24.61,,,,,,EOF1776951221,0.04
Market buy,2022-02-03 08:16:14,XS2399365555,SNIO,"Leverage Shares -3x Short NIO",5.0000000000,7.03,USD,1.12940,,31.16,,,,,,EOF1777914203,0.05
Market buy,2022-02-03 13:24:19,IE00B3WJKG14,IITU,"iShares S&P 500 Information Technology Sector (Acc)",1.0000000000,1499.50,GBX,83.08600,,18.08,,,,,,EOF1777924073,0.03
Market buy,2022-02-03 14:30:04,US98422D1054,XPEV,"XPeng",1.5000000000,34.82,USD,1.13805,,45.96,,,,,,EOF1777928661,0.07
Market buy,2022-02-03 14:30:05,US69608A1088,PLTR,"Palantir",1.0000000000,12.96,USD,1.13797,,11.41,,,,,,EOF1777929067,0.02
Market buy,2022-02-03 14:30:05,US63008G2030,NNDM,"Nano Dimension",6.0000000000,3.58,USD,1.13798,,18.91,,,,,,EOF1777929041,0.03
Market buy,2022-02-03 14:30:06,US5494981039,LCID,"Lucid",1.0000000000,26.50,USD,1.13805,,23.32,,,,,,EOF1777929363,0.03
Market buy,2022-02-03 14:34:36,US62914V1061,NIO,"NIO",1.0000000000,23.26,USD,1.13908,,20.45,,,,,,EOF1777935156,0.03
Market buy,2022-02-03 15:37:18,US30303M1027,META,"Meta Platforms",0.5000000000,247.06,USD,1.14010,,108.51,,,,,,EOF1778905389,0.16
Market buy,2022-02-07 19:14:49,US69608A1088,PLTR,"Palantir",1.0000000000,13.16,USD,1.14279,,11.54,,,,,,EOF1783781234,0.02
Market buy,2022-02-10 14:36:42,US02079K3059,GOOGL,"Alphabet (Class A)",0.0020000000,2794.54,USD,1.13914,,4.92,,,,,,EOF1787605252,0.01
Dividend (Ordinary),2022-02-11 11:35:50,US0378331005,AAPL,"Apple",0.1000000000,0.19,USD,Not available,,0.02,0.00,USD,,,,,
Market sell,2022-02-25 10:45:33,XS2399365555,SNIO,"Leverage Shares -3x Short NIO",5.0000000000,7.31,USD,1.11778,1.59,32.65,,,,,,EOF1804942722,0.05
Market sell,2022-02-25 10:47:15,IE00B3WJKG14,IITU,"iShares S&P 500 Information Technology Sector (Acc)",3.0000000000,1414.50,GBX,83.56089,-4.54,50.70,,,,,,EOF1804942785,0.08
Market sell,2022-02-25 10:47:29,IE00BGL86Z12,ECAR,"iShares Electric Vehicles & Driving Technology (Acc)",10.0000000000,7.34,USD,1.11791,-9.11,65.57,,,,,,EOF1804942798,0.10
Market buy,2022-02-25 10:52:23,GB0002634946,BA.,"BAE Systems",9.0000000000,662.60,GBX,83.54889,,71.85,,,,0.36,,EOF1804943005,0.11
Market sell,2022-02-25 14:30:04,US0079031078,AMD,"Advanced Micro Devices",0.3000000000,117.19,USD,1.12232,-1.30,31.28,,,,,,EOF1805855246,0.05
Market buy,2022-02-25 14:30:09,US5398301094,LMT,"Lockheed Martin",0.2000000000,395.78,USD,1.12215,,70.65,,,,,,EOF1805857233,0.11
Market sell,2022-02-25 14:31:47,US2546871060,DIS,"Walt Disney",0.1000000000,149.40,USD,1.12245,0.08,13.29,,,,,,EOF1805860642,0.02
Market sell,2022-02-25 14:32:49,US1912161007,KO,"Coca-Cola",1.0000000000,61.13,USD,1.12274,0.69,54.37,,,,,,EOF1805861071,0.08
