ISIN,Time,Notes,No. of shares,Total (EUR),Withholding tax,Finra fee (EUR),ID,Charge amount (EUR),Price / share,Result (EUR),Name,Exchange rate,Action,Ticker,Currency conversion fee (EUR),Currency (Withholding tax),Currency (Price / share)
,2020-09-22 13:22:07,Bank Transfer,,1.00,,,d45ea44e-d34b-466c-9740-23238d46dc9d,1.00,,,,,Deposit,,,,
,2020-09-22 13:24:00,Bank Transfer,,1.00,,,c45d5bdd-0945-4a95-9c66-704199ffbbb4,1.00,,,,,Deposit,,,,
US88688T1007,2020-09-22 13:34:45,,1.0000000000,4.26,,,EOF443101103,,5.01,,Tilray,1.17495,Market buy,TLRY,,,USD
,2020-09-22 13:34:45,Free Shares Promotion,,4.27,,,c1020d47-f6eb-401f-b3f4-c773564ba9a5,4.27,,,,,Deposit,,,,
US88688T1007,2020-09-22 14:45:47,,1.0000000000,4.18,,,EOF443648905,,4.90,-0.08,Tilray,1.17103,Market sell,TLRY,,,USD
US88160R1014,2020-09-22 14:46:34,,0.0168276000,6.10,,,EOF443653460,,424.39,,Tesla,1.17073,Market buy,TSLA,,,USD
US88160R1014,2020-09-22 17:08:13,,0.0168276000,6.12,,,EOF444140144,,426.15,0.02,Tesla,1.17085,Market sell,TSLA,,,USD
US88160R1014,2020-09-22 17:10:13,,0.0170056000,6.20,,,EOF444144484,,426.84,,Tesla,1.17076,Market buy,TSLA,,,USD
,2020-09-30 13:19:59,Bank Transfer,,999.99,,,3f297722-8512-4dbf-931d-9f4d342bbfda,999.99,,,,,Deposit,,,,
US88160R1014,2020-10-02 13:32:22,,0.2760000000,100.14,,,EOF466100657,,425.00,,Tesla,1.17139,Market buy,TSLA,,,USD
US62914V1061,2020-10-02 13:37:09,,5.0000000000,91.78,,,EOF466237410,,21.50,,NIO Inc,1.17131,Limit buy,NIO,,,USD
US62914V1061,2020-10-02 14:23:51,,1.0000000000,18.73,,,EOF466720337,,21.94,0.37,NIO Inc,1.17134,Market sell,NIO,,,USD
US62914V1061,2020-10-02 14:26:11,,1.0000000000,18.82,,,EOF466737646,,22.04,,NIO Inc,1.17082,Market buy,NIO,,,USD
US88160R1014,2020-10-05 13:49:47,,0.0930000000,33.89,,,EOF469519271,,429.40,0.14,Tesla,1.17849,Market sell,TSLA,,,USD
US88160R1014,2020-10-05 14:23:18,,0.0999000000,36.35,,,EOF469796427,,428.91,,Tesla,1.17883,Market buy,TSLA,,,USD
IE00B1XNHC34,2020-10-06 07:01:23,,5.0000000000,48.86,,,EOF471090428,,886.50,,iShares Global Clean Energy,90.71699,Market buy,INRG,,,GBX
IE00B3XXRP09,2020-10-06 07:05:20,,2.0000000000,109.44,,,EOF471123553,,49.63,,Vanguard S&P 500 ETF,0.90695,Limit buy,VUSA,,,GBP
US72919P2020,2020-10-07 14:30:24,,1.0000000000,14.87,,,EOF475328376,,17.49,,Plug Power,1.17627,Market buy,PLUG,,,USD
US72919P2020,2020-10-07 14:35:09,,1.0000000000,14.88,,,EOF475360652,,17.51,0.01,Plug Power,1.17677,Market sell,PLUG,,,USD
KYG8651P1101,2020-10-07 14:37:55,,2.0000000000,14.25,,,EOF475379515,,8.38,,SPI Energy,1.17622,Market buy,SPI,,,USD
KYG8651P1101,2020-10-07 14:41:33,,1.0000000000,7.00,,,EOF475402899,,8.23,,SPI Energy,1.17647,Market buy,SPI,,,USD
KYG8651P1101,2020-10-07 14:47:22,,1.0000000000,7.08,,,EOF475435857,,8.33,0.00,SPI Energy,1.17615,Market sell,SPI,,,USD
KYG8651P1101,2020-10-07 14:56:58,,1.0000000000,7.08,,,EOF475486412,,8.33,-0.01,SPI Energy,1.17601,Market sell,SPI,,,USD
KYG8651P1101,2020-10-07 14:58:23,,1.0000000000,7.13,,,EOF475493412,,8.38,0.05,SPI Energy,1.17607,Market sell,SPI,,,USD
US72919P2020,2020-10-07 15:35:01,,1.0000000000,15.05,,,EOF475692785,,17.71,,Plug Power,1.17665,Market buy,PLUG,,,USD
US72919P2020,2020-10-07 15:39:45,,1.0000000000,15.10,,,EOF475713911,,17.77,0.05,Plug Power,1.17708,Market sell,PLUG,,,USD
KYG8651P1101,2020-10-07 16:33:22,,1.0000000000,6.83,,,EOF475914377,,8.04,,SPI Energy,1.17692,Market buy,SPI,,,USD
KYG8651P1101,2020-10-07 17:03:54,,1.0000000000,7.00,,,EOF476000243,,8.24,0.17,SPI Energy,1.17740,Market sell,SPI,,,USD
US72919P2020,2020-10-07 17:04:20,,2.0000000000,30.27,,,EOF476001841,,17.82,,Plug Power,1.17724,Market buy,PLUG,,,USD
US72919P2020,2020-10-07 17:15:39,,1.0000000000,15.05,,,EOF476036739,,17.72,,Plug Power,1.17726,Market buy,PLUG,,,USD
KYG8651P1101,2020-10-07 17:59:08,,7.0000000000,47.95,,,EOF476165816,,8.06,,SPI Energy,1.17665,Limit buy,SPI,,,USD
US72919P2020,2020-10-07 19:01:53,,1.0000000000,15.18,,,EOF476345339,,17.87,0.07,Plug Power,1.17695,Market sell,PLUG,,,USD
